

2026-08-03T17:28:40.680904715Z 2026-08-03T17:28:40.679845Z  INFO tunnel2tunnel_ssh: SSH: auth accepted entity_id=<redacted-uuid> entity_name="linux-laptop" peer_ip=<redacted-ip> fp=SHA256:<redacted>
2026-08-03T17:35:50.337469561Z 2026-08-03T17:35:50.337205Z  INFO tunnel2tunnel_ssh: SSH: new connection peer_ip=<redacted-ip> conn_id=<redacted-uuid>
2026-08-03T17:35:50.534024737Z 2026-08-03T17:35:50.533713Z  INFO tunnel2tunnel_ssh: SSH: auth attempt (none) — rejected peer_ip=<redacted-ip> user=admin available="publickey"
2026-08-03T17:35:51.565592206Z 2026-08-03T17:35:51.565360Z  INFO tunnel2tunnel_ssh: SSH: connection closed (unauthenticated) peer_ip=<redacted-ip>
2026-08-03T17:35:51.565649966Z 2026-08-03T17:35:51.565442Z  WARN tunnel2tunnel_ssh: SSH: session ended with error err=early eof
2026-08-03T17:46:22.171480884Z 2026-08-03T17:46:22.171137Z  INFO tunnel2tunnel_ssh: SSH: new connection peer_ip=<redacted-ip> conn_id=<redacted-uuid>
2026-08-03T17:46:23.206325332Z 2026-08-03T17:46:23.206116Z  INFO tunnel2tunnel_ssh: SSH: auth attempt (password) — rejected (password auth not supported) peer_ip=<redacted-ip> user=ubnt password_len=9 available="publickey"
2026-08-03T17:46:24.370219943Z 2026-08-03T17:46:24.368544Z  INFO tunnel2tunnel_ssh: SSH: connection closed (unauthenticated) peer_ip=<redacted-ip>
2026-08-03T17:46:24.370303304Z 2026-08-03T17:46:24.368671Z  WARN tunnel2tunnel_ssh: SSH: session ended with error err=early eof
2026-08-03T17:49:17.121591076Z 2026-08-03T17:49:17.121324Z  INFO tunnel2tunnel_ssh: SSH: new connection peer_ip=<redacted-ip> conn_id=<redacted-uuid>
2026-08-03T17:49:17.316958482Z 2026-08-03T17:49:17.316706Z  INFO tunnel2tunnel_ssh: SSH: auth attempt (none) — rejected peer_ip=<redacted-ip> user=AdminGPON available="publickey"
2026-08-03T17:49:18.348533213Z 2026-08-03T17:49:18.348306Z  INFO tunnel2tunnel_ssh: SSH: connection closed (unauthenticated) peer_ip=<redacted-ip>
2026-08-03T17:49:18.348592174Z 2026-08-03T17:49:18.348399Z  WARN tunnel2tunnel_ssh: SSH: session ended with error err=early eof
2026-08-03T17:57:06.822647489Z 2026-08-03T17:57:06.822000Z  INFO tunnel2tunnel_ssh: SSH: new connection peer_ip=<redacted-ip> conn_id=<redacted-uuid>
2026-08-03T17:57:09.867470289Z 2026-08-03T17:57:09.867191Z  INFO tunnel2tunnel_ssh: SSH: auth attempt (password) — rejected (password auth not supported) peer_ip=<redacted-ip> user=1234 password_len=4 available="publickey"
2026-08-03T17:57:11.440740767Z 2026-08-03T17:57:11.438075Z  INFO tunnel2tunnel_ssh: SSH: connection closed (unauthenticated) peer_ip=<redacted-ip>
2026-08-03T17:57:11.440777288Z 2026-08-03T17:57:11.438182Z  WARN tunnel2tunnel_ssh: SSH: session ended with error err=early eof
2026-08-03T18:02:18.670021883Z 2026-08-03T18:02:18.669842Z  INFO tunnel2tunnel_ssh: SSH: new connection peer_ip=<redacted-ip> conn_id=<redacted-uuid>
2026-08-03T18:02:18.867896205Z 2026-08-03T18:02:18.867754Z  INFO tunnel2tunnel_ssh: SSH: auth attempt (none) — rejected peer_ip=<redacted-ip> user=root available="publickey"
2026-08-03T18:02:19.899374045Z 2026-08-03T18:02:19.899155Z  INFO tunnel2tunnel_ssh: SSH: connection closed (unauthenticated) peer_ip=<redacted-ip>
2026-08-03T18:02:19.899411085Z 2026-08-03T18:02:19.899242Z  WARN tunnel2tunnel_ssh: SSH: session ended with error err=early eof
2026-08-03T18:03:37.750598321Z 2026-08-03T18:03:37.750438Z  INFO tunnel2tunnel_ssh: direct-tcpip: channel open request client_entity=<redacted-uuid> client_entity_name="linux-laptop" peer_ip=<redacted-ip> host="server1" port=5900
2026-08-03T18:03:49.816942707Z 2026-08-03T18:03:49.816768Z  INFO tunnel2tunnel_ssh: direct-tcpip: rejected — target server never came online within the retry window target_entity=<redacted-uuid> target_entity_name="server1" proxy_port=5900
2026-08-03T18:03:49.817070629Z 2026-08-03T18:03:49.816984Z  INFO tunnel2tunnel_ssh: direct-tcpip: channel open request client_entity=<redacted-uuid> client_entity_name="linux-laptop" peer_ip=<redacted-ip> host="server1" port=5900
2026-08-03T18:04:01.880875780Z 2026-08-03T18:04:01.878579Z  INFO tunnel2tunnel_ssh: direct-tcpip: rejected — target server never came online within the retry window target_entity=<redacted-uuid> target_entity_name="server1" proxy_port=5900
2026-08-03T18:04:01.880912700Z 2026-08-03T18:04:01.878946Z  INFO tunnel2tunnel_ssh: direct-tcpip: channel open request client_entity=<redacted-uuid> client_entity_name="linux-laptop" peer_ip=<redacted-ip> host="server2" port=5900
2026-08-03T18:04:01.910991505Z 2026-08-03T18:04:01.910832Z  INFO tunnel2tunnel_ssh: direct-tcpip: bridge established client_entity=<redacted-uuid> target_entity=<redacted-uuid> target_entity_name="server2" host="server2" port=5900 client_ch=5 server_ch=2
2026-08-03T18:04:01.910991505Z 2026-08-03T18:04:01.910832Z  INFO tunnel2tunnel_ssh: direct-tcpip: bridge established client_entity=<redacted-uuid> target_entity=<redacted-uuid> target_entity_name="server2" host="server2" port=5900 client_ch=5 server_ch=2
